"uuid","age","country","gender","playcount","age_scrobbles","user_type","registered","firstscrobble","lastscrobble"
"b8a6d111-bc22-4989-9e70-2c7efaef09c0",43,"US","n",9594,1255,"user",1248412978,1249000223,1356533755
"5227d451-349f-40af-ba7e-c052230dc3d6",21,"LV","n",30100,1628,"user",1220542719,1361259068,1220550053
"a6915145-3bf1-4c9b-8e33-0c58f8c8dead",25,"PL","n",31004,2937,"user",1119991113,1119991264,1371844362
"53367ca5-2602-452a-bd00-405d8c2ee599",32,"SE","n",155444,3104,"user",1101583141,1108460684,1369828228
"411efcb3-ea90-4a94-9267-9842d36c2bd3",26,"JP","n",27702,939,"user",1276423933,1276489804,1357547481
"befc44f4-d69b-4bde-a0ac-9f316c3ba231",26,"FI","n",42557,1748,"user",1224267897,1224269124,1375301114
"ee42e7b9-4cdc-47c1-8c8a-d708d6977aa0",29,"GT","n",11149,1120,"user",1281744664,1281745156,1376524084
"8af90533-29db-4fd8-90ec-0ee698b63d1e",37,"JP","n",13219,1276,"user",1263482698,1263695681,1373636957
"8bc35d80-f870-4780-bac8-f4f166590834",17,"US","f",49417,1412,"user",1233901328,1233907823,1355910100
"97dcd691-35b5-4a45-87a9-8f890a5c0541",19,"HR","f",44734,838,"user",1282689486,1283455860,1355093581
"0c81b405-d194-4b29-ae70-a5b65068a374",19,"UK","f",27698,1175,"user",1274622540,1274624677,1376134673
"ca402090-7285-4557-a473-fdacc32a7598",34,"DE","f",15390,1439,"user",1244018468,1244019314,1358801537
"b0bc35a6-c416-4bf5-ba94-660c17b92c8c",17,"DE","f",15942,1398,"user",1254833530,1254834499,1360081956
"da05693d-a5ad-475a-89ec-c9a78a632800",24,"US","f",15944,1091,"user",1265295260,1265390222,1359434045
"814185e7-3939-4057-866d-574ef86058d9",19,"PL","f",66043,1743,"user",1200138832,1354571481,1219593888
"b5d94000-4f0f-4e67-976f-7350cf18471b",24,"RO","f",16668,1585,"user",1243284269,1243285936,1376504291
"ca822cfe-0486-4258-8e59-4d4ab02f72a6",23,"US","f",21342,1540,"user",1225144083,1358013023,1255282376
"e7082f41-1a12-472f-aa50-2c1ec11c71d7",22,"PL","f",50354,2306,"user",1174586612,1266790315,1373738022
"aadca096-7320-4b84-b426-41fa55341e44",23,"BR","f",31554,1085,"user",1275273358,1368900532,1275274096
"95484805-b3a0-469b-a88e-ed2c435e9d67",20,"NL","f",14596,975,"user",1281815021,1281815843,1365817443
"129e36ae-b003-4a44-a822-d27c2c929cfa",34,"UK","f",45814,1609,"user",1217411347,1217413630,1355924317
"7b95ed69-0746-4b79-aaad-e1518ecf0003",24,"UK","f",51427,2203,"user",1184446095,1184614003,1360679483
"3d40a261-f0b9-47f7-9208-02c03e1826df",25,"US","f",32298,744,"user",1315608580,1315609017,1379724415
"c5dc4acc-efc8-4340-9a76-155a49f7c0fa",19,"BR","f",23244,1128,"user",1274831166,1274831862,1364669584
"a4ed4ecf-6c81-49f7-8ffa-5a8673d2d2b5",20,"PL","f",40436,1625,"user",1238345310,1238762838,1378185348
